semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
908797	-0.5	4	600	5	157030000
266129	-0.5	4	600	5	151900000
314693	-0.5	4	600	5	178450000
801569	-0.5	4	600	5	162060000
934229	-0.5	4	600	5	171080000
997609	-0.5	4	600	5	143910000
941207	-0.5	4	600	5	168130000
614051	-0.5	4	600	5	164630000
235241	-0.5	4	600	5	169780000
420811	-0.5	4	600	5	147520000
163147	-0.5	4	600	5	146090000
282571	-0.5	4	600	5	145260000
998813	-0.5	4	600	5	167020000
140827	-0.5	4	600	5	161570000
916337	-0.5	4	600	5	142030000
386363	-0.5	4	600	5	148060000
695117	-0.5	4	600	5	141310000
176357	-0.5	4	600	5	155660000
333673	-0.5	4	600	5	161660000
305369	-0.5	4	600	10	168790000
908797	-0.5	4	600	10	157640000
266129	-0.5	4	600	10	167910000
314693	-0.5	4	600	10	178450000
801569	-0.5	4	600	10	162060000
934229	-0.5	4	600	10	171080000
997609	-0.5	4	600	10	143910000
941207	-0.5	4	600	10	168130000
614051	-0.5	4	600	10	164630000
235241	-0.5	4	600	10	169780000
420811	-0.5	4	600	10	147470000
163147	-0.5	4	600	10	148520000
282571	-0.5	4	600	10	144110000
998813	-0.5	4	600	10	166930000
140827	-0.5	4	600	10	172800000
916337	-0.5	4	600	10	142950000
386363	-0.5	4	600	10	148790000
695117	-0.5	4	600	10	141280000
176357	-0.5	4	600	10	155660000
333673	-0.5	4	600	10	162570000
305369	-0.5	4	600	20	167890000
908797	-0.5	4	600	20	157620000
266129	-0.5	4	600	20	167910000
314693	-0.5	4	600	20	179200000
801569	-0.5	4	600	20	157240000
934229	-0.5	4	600	20	171080000
997609	-0.5	4	600	20	144790000
941207	-0.5	4	600	20	168120000
614051	-0.5	4	600	20	164560000
235241	-0.5	4	600	20	169780000
420811	-0.5	4	600	20	143920000
163147	-0.5	4	600	20	147670000
282571	-0.5	4	600	20	144110000
998813	-0.5	4	600	20	166910000
140827	-0.5	4	600	20	173620000
916337	-0.5	4	600	20	148440000
386363	-0.5	4	600	20	145110000
695117	-0.5	4	600	20	141380000
176357	-0.5	4	600	20	158830000
333673	-0.5	4	600	20	162570000
305369	-0.5	4	600	40	168150000
908797	-0.5	4	600	40	157900000
266129	-0.5	4	600	40	167910000
314693	-0.5	4	600	40	178170000
801569	-0.5	4	600	40	157240000
934229	-0.5	4	600	40	174330000
997609	-0.5	4	600	40	153820000
941207	-0.5	4	600	40	169500000
614051	-0.5	4	600	40	164570000
235241	-0.5	4	600	40	169780000
420811	-0.5	4	600	40	130540000
163147	-0.5	4	600	40	147670000
282571	-0.5	4	600	40	144110000
998813	-0.5	4	600	40	167710000
140827	-0.5	4	600	40	174060000
916337	-0.5	4	600	40	147940000
386363	-0.5	4	600	40	146520000
695117	-0.5	4	600	40	142410000
176357	-0.5	4	600	40	157770000
333673	-0.5	4	600	40	160350000
305369	-0.5	4	400	5	168980000
908797	-0.5	4	400	5	157030000
266129	-0.5	4	400	5	153200000
314693	-0.5	4	400	5	178450000
801569	-0.5	4	400	5	162060000
934229	-0.5	4	400	5	171080000
997609	-0.5	4	400	5	144180000
941207	-0.5	4	400	5	168130000
614051	-0.5	4	400	5	164630000
235241	-0.5	4	400	5	169760000
420811	-0.5	4	400	5	147520000
163147	-0.5	4	400	5	145880000
282571	-0.5	4	400	5	145190000
998813	-0.5	4	400	5	167020000
140827	-0.5	4	400	5	161570000
916337	-0.5	4	400	5	142030000
386363	-0.5	4	400	5	148060000
695117	-0.5	4	400	5	141310000
176357	-0.5	4	400	5	155660000
333673	-0.5	4	400	5	161660000
305369	-0.5	4	400	10	168790000
908797	-0.5	4	400	10	157640000
266129	-0.5	4	400	10	169210000
314693	-0.5	4	400	10	178450000
801569	-0.5	4	400	10	162060000
934229	-0.5	4	400	10	171080000
997609	-0.5	4	400	10	144180000
941207	-0.5	4	400	10	168130000
614051	-0.5	4	400	10	164630000
235241	-0.5	4	400	10	169760000
420811	-0.5	4	400	10	147470000
163147	-0.5	4	400	10	148310000
282571	-0.5	4	400	10	144040000
998813	-0.5	4	400	10	166930000
140827	-0.5	4	400	10	172800000
916337	-0.5	4	400	10	142950000
386363	-0.5	4	400	10	148790000
695117	-0.5	4	400	10	141280000
176357	-0.5	4	400	10	155660000
333673	-0.5	4	400	10	162570000
305369	-0.5	4	400	20	167890000
908797	-0.5	4	400	20	157620000
266129	-0.5	4	400	20	169210000
314693	-0.5	4	400	20	179200000
801569	-0.5	4	400	20	157240000
934229	-0.5	4	400	20	171080000
997609	-0.5	4	400	20	145060000
941207	-0.5	4	400	20	168120000
614051	-0.5	4	400	20	164560000
235241	-0.5	4	400	20	169710000
420811	-0.5	4	400	20	143920000
163147	-0.5	4	400	20	148210000
282571	-0.5	4	400	20	144460000
998813	-0.5	4	400	20	166910000
140827	-0.5	4	400	20	173620000
916337	-0.5	4	400	20	148440000
386363	-0.5	4	400	20	145110000
695117	-0.5	4	400	20	141380000
176357	-0.5	4	400	20	158830000
333673	-0.5	4	400	20	162570000
305369	-0.5	4	400	40	168150000
908797	-0.5	4	400	40	157900000
266129	-0.5	4	400	40	165500000
314693	-0.5	4	400	40	178170000
801569	-0.5	4	400	40	157240000
934229	-0.5	4	400	40	174330000
997609	-0.5	4	400	40	154090000
941207	-0.5	4	400	40	169500000
614051	-0.5	4	400	40	164570000
235241	-0.5	4	400	40	169090000
420811	-0.5	4	400	40	130540000
163147	-0.5	4	400	40	148210000
282571	-0.5	4	400	40	144460000
998813	-0.5	4	400	40	167710000
140827	-0.5	4	400	40	174060000
916337	-0.5	4	400	40	147940000
386363	-0.5	4	400	40	145160000
695117	-0.5	4	400	40	142410000
176357	-0.5	4	400	40	157770000
333673	-0.5	4	400	40	160350000
305369	-0.5	4	200	5	168780000
908797	-0.5	4	200	5	157030000
266129	-0.5	4	200	5	149310000
314693	-0.5	4	200	5	178450000
801569	-0.5	4	200	5	162220000
934229	-0.5	4	200	5	171740000
997609	-0.5	4	200	5	144180000
941207	-0.5	4	200	5	168130000
614051	-0.5	4	200	5	164630000
235241	-0.5	4	200	5	169760000
420811	-0.5	4	200	5	147520000
163147	-0.5	4	200	5	145880000
282571	-0.5	4	200	5	145040000
998813	-0.5	4	200	5	167020000
140827	-0.5	4	200	5	161570000
916337	-0.5	4	200	5	143010000
386363	-0.5	4	200	5	148060000
695117	-0.5	4	200	5	141310000
176357	-0.5	4	200	5	155660000
333673	-0.5	4	200	5	162170000
305369	-0.5	4	200	10	168590000
908797	-0.5	4	200	10	157640000
266129	-0.5	4	200	10	169210000
314693	-0.5	4	200	10	178450000
801569	-0.5	4	200	10	162220000
934229	-0.5	4	200	10	171740000
997609	-0.5	4	200	10	144180000
941207	-0.5	4	200	10	168130000
614051	-0.5	4	200	10	164630000
235241	-0.5	4	200	10	169760000
420811	-0.5	4	200	10	147470000
163147	-0.5	4	200	10	148310000
282571	-0.5	4	200	10	143890000
998813	-0.5	4	200	10	166930000
140827	-0.5	4	200	10	172800000
916337	-0.5	4	200	10	143930000
386363	-0.5	4	200	10	148790000
695117	-0.5	4	200	10	141280000
176357	-0.5	4	200	10	155660000
333673	-0.5	4	200	10	163080000
305369	-0.5	4	200	20	167690000
908797	-0.5	4	200	20	157620000
266129	-0.5	4	200	20	169210000
314693	-0.5	4	200	20	179200000
801569	-0.5	4	200	20	157400000
934229	-0.5	4	200	20	171740000
997609	-0.5	4	200	20	145060000
941207	-0.5	4	200	20	168120000
614051	-0.5	4	200	20	164560000
235241	-0.5	4	200	20	169710000
420811	-0.5	4	200	20	143920000
163147	-0.5	4	200	20	148210000
282571	-0.5	4	200	20	144310000
998813	-0.5	4	200	20	166910000
140827	-0.5	4	200	20	173620000
916337	-0.5	4	200	20	148440000
386363	-0.5	4	200	20	145110000
695117	-0.5	4	200	20	141380000
176357	-0.5	4	200	20	158830000
333673	-0.5	4	200	20	163080000
305369	-0.5	4	200	40	168150000
908797	-0.5	4	200	40	157900000
266129	-0.5	4	200	40	165500000
314693	-0.5	4	200	40	178170000
801569	-0.5	4	200	40	157240000
934229	-0.5	4	200	40	174330000
997609	-0.5	4	200	40	154090000
941207	-0.5	4	200	40	169500000
614051	-0.5	4	200	40	164570000
235241	-0.5	4	200	40	169090000
420811	-0.5	4	200	40	130540000
163147	-0.5	4	200	40	148210000
282571	-0.5	4	200	40	144310000
998813	-0.5	4	200	40	167710000
140827	-0.5	4	200	40	174060000
916337	-0.5	4	200	40	147940000
386363	-0.5	4	200	40	145160000
695117	-0.5	4	200	40	142410000
176357	-0.5	4	200	40	157770000
333673	-0.5	4	200	40	160350000
305369	-0.5	4	100	5	168780000
908797	-0.5	4	100	5	157210000
266129	-0.5	4	100	5	149310000
314693	-0.5	4	100	5	178450000
801569	-0.5	4	100	5	162220000
934229	-0.5	4	100	5	171740000
997609	-0.5	4	100	5	144280000
941207	-0.5	4	100	5	168130000
614051	-0.5	4	100	5	164630000
235241	-0.5	4	100	5	169760000
420811	-0.5	4	100	5	147520000
163147	-0.5	4	100	5	145880000
282571	-0.5	4	100	5	145040000
998813	-0.5	4	100	5	167020000
140827	-0.5	4	100	5	161570000
916337	-0.5	4	100	5	143010000
386363	-0.5	4	100	5	148060000
695117	-0.5	4	100	5	141310000
176357	-0.5	4	100	5	155660000
333673	-0.5	4	100	5	162170000
305369	-0.5	4	100	10	168590000
908797	-0.5	4	100	10	157820000
266129	-0.5	4	100	10	169210000
314693	-0.5	4	100	10	178450000
801569	-0.5	4	100	10	162220000
934229	-0.5	4	100	10	171740000
997609	-0.5	4	100	10	144280000
941207	-0.5	4	100	10	168130000
614051	-0.5	4	100	10	164630000
235241	-0.5	4	100	10	169760000
420811	-0.5	4	100	10	147470000
163147	-0.5	4	100	10	148310000
282571	-0.5	4	100	10	143890000
998813	-0.5	4	100	10	166930000
140827	-0.5	4	100	10	172800000
916337	-0.5	4	100	10	143930000
386363	-0.5	4	100	10	148790000
695117	-0.5	4	100	10	141280000
176357	-0.5	4	100	10	155660000
333673	-0.5	4	100	10	163080000
305369	-0.5	4	100	20	167690000
908797	-0.5	4	100	20	157800000
266129	-0.5	4	100	20	169210000
314693	-0.5	4	100	20	179200000
801569	-0.5	4	100	20	157400000
934229	-0.5	4	100	20	171740000
997609	-0.5	4	100	20	145160000
941207	-0.5	4	100	20	168120000
614051	-0.5	4	100	20	164560000
235241	-0.5	4	100	20	169710000
420811	-0.5	4	100	20	143920000
163147	-0.5	4	100	20	148210000
282571	-0.5	4	100	20	144310000
998813	-0.5	4	100	20	166910000
140827	-0.5	4	100	20	173620000
916337	-0.5	4	100	20	148440000
386363	-0.5	4	100	20	145110000
695117	-0.5	4	100	20	141380000
176357	-0.5	4	100	20	158830000
333673	-0.5	4	100	20	163080000
305369	-0.5	4	100	40	168150000
908797	-0.5	4	100	40	158080000
266129	-0.5	4	100	40	165500000
314693	-0.5	4	100	40	178170000
801569	-0.5	4	100	40	157240000
934229	-0.5	4	100	40	174330000
997609	-0.5	4	100	40	154190000
941207	-0.5	4	100	40	169500000
614051	-0.5	4	100	40	164570000
235241	-0.5	4	100	40	169090000
420811	-0.5	4	100	40	130540000
163147	-0.5	4	100	40	148210000
282571	-0.5	4	100	40	144310000
998813	-0.5	4	100	40	167710000
140827	-0.5	4	100	40	174060000
916337	-0.5	4	100	40	147940000
386363	-0.5	4	100	40	145160000
695117	-0.5	4	100	40	142410000
176357	-0.5	4	100	40	157770000
333673	-0.5	4	100	40	160350000
305369	-0.5	4	50	5	168780000
908797	-0.5	4	50	5	157210000
266129	-0.5	4	50	5	149480000
314693	-0.5	4	50	5	178630000
801569	-0.5	4	50	5	162220000
934229	-0.5	4	50	5	171740000
997609	-0.5	4	50	5	144280000
941207	-0.5	4	50	5	168130000
614051	-0.5	4	50	5	164630000
235241	-0.5	4	50	5	169760000
420811	-0.5	4	50	5	147520000
163147	-0.5	4	50	5	145880000
282571	-0.5	4	50	5	145040000
998813	-0.5	4	50	5	167150000
140827	-0.5	4	50	5	161730000
916337	-0.5	4	50	5	143010000
386363	-0.5	4	50	5	148060000
695117	-0.5	4	50	5	141310000
176357	-0.5	4	50	5	155660000
333673	-0.5	4	50	5	162170000
305369	-0.5	4	50	10	168590000
908797	-0.5	4	50	10	157820000
266129	-0.5	4	50	10	169380000
314693	-0.5	4	50	10	178630000
801569	-0.5	4	50	10	162220000
934229	-0.5	4	50	10	171740000
997609	-0.5	4	50	10	144280000
941207	-0.5	4	50	10	168130000
614051	-0.5	4	50	10	164630000
235241	-0.5	4	50	10	169760000
420811	-0.5	4	50	10	147470000
163147	-0.5	4	50	10	148310000
282571	-0.5	4	50	10	143890000
998813	-0.5	4	50	10	167060000
140827	-0.5	4	50	10	172960000
916337	-0.5	4	50	10	143930000
386363	-0.5	4	50	10	148790000
695117	-0.5	4	50	10	141280000
176357	-0.5	4	50	10	155660000
333673	-0.5	4	50	10	163080000
305369	-0.5	4	50	20	167690000
908797	-0.5	4	50	20	157800000
266129	-0.5	4	50	20	169380000
314693	-0.5	4	50	20	179380000
801569	-0.5	4	50	20	157400000
934229	-0.5	4	50	20	171740000
997609	-0.5	4	50	20	145160000
941207	-0.5	4	50	20	168120000
614051	-0.5	4	50	20	164560000
235241	-0.5	4	50	20	169710000
420811	-0.5	4	50	20	143920000
163147	-0.5	4	50	20	148210000
282571	-0.5	4	50	20	144310000
998813	-0.5	4	50	20	167040000
140827	-0.5	4	50	20	173780000
916337	-0.5	4	50	20	148440000
386363	-0.5	4	50	20	145110000
695117	-0.5	4	50	20	141380000
176357	-0.5	4	50	20	158830000
333673	-0.5	4	50	20	163080000
305369	-0.5	4	50	40	168150000
908797	-0.5	4	50	40	158080000
266129	-0.5	4	50	40	165670000
314693	-0.5	4	50	40	178350000
801569	-0.5	4	50	40	157240000
934229	-0.5	4	50	40	174330000
997609	-0.5	4	50	40	154190000
941207	-0.5	4	50	40	169500000
614051	-0.5	4	50	40	164570000
235241	-0.5	4	50	40	169090000
420811	-0.5	4	50	40	130540000
163147	-0.5	4	50	40	148210000
282571	-0.5	4	50	40	144310000
998813	-0.5	4	50	40	167840000
140827	-0.5	4	50	40	174220000
916337	-0.5	4	50	40	147940000
386363	-0.5	4	50	40	145160000
695117	-0.5	4	50	40	142410000
176357	-0.5	4	50	40	157770000
333673	-0.5	4	50	40	160350000
305369	-0.5	4	20	5	168780000
908797	-0.5	4	20	5	157210000
266129	-0.5	4	20	5	149480000
314693	-0.5	4	20	5	178630000
801569	-0.5	4	20	5	162220000
934229	-0.5	4	20	5	171740000
997609	-0.5	4	20	5	144280000
941207	-0.5	4	20	5	168130000
614051	-0.5	4	20	5	164630000
235241	-0.5	4	20	5	169760000
420811	-0.5	4	20	5	147520000
163147	-0.5	4	20	5	145880000
282571	-0.5	4	20	5	145040000
998813	-0.5	4	20	5	167150000
140827	-0.5	4	20	5	161730000
916337	-0.5	4	20	5	143010000
386363	-0.5	4	20	5	148060000
695117	-0.5	4	20	5	141310000
176357	-0.5	4	20	5	155660000
333673	-0.5	4	20	5	162170000
305369	-0.5	4	20	10	168590000
908797	-0.5	4	20	10	157820000
266129	-0.5	4	20	10	169380000
314693	-0.5	4	20	10	178630000
801569	-0.5	4	20	10	162220000
934229	-0.5	4	20	10	171740000
997609	-0.5	4	20	10	144280000
941207	-0.5	4	20	10	168130000
614051	-0.5	4	20	10	164630000
235241	-0.5	4	20	10	169760000
420811	-0.5	4	20	10	147470000
163147	-0.5	4	20	10	148310000
282571	-0.5	4	20	10	143890000
998813	-0.5	4	20	10	167060000
140827	-0.5	4	20	10	172960000
916337	-0.5	4	20	10	143930000
386363	-0.5	4	20	10	148790000
695117	-0.5	4	20	10	141280000
176357	-0.5	4	20	10	155660000
333673	-0.5	4	20	10	163080000
305369	-0.5	4	20	20	167690000
908797	-0.5	4	20	20	157800000
266129	-0.5	4	20	20	169380000
314693	-0.5	4	20	20	179380000
801569	-0.5	4	20	20	157400000
934229	-0.5	4	20	20	171740000
997609	-0.5	4	20	20	145160000
941207	-0.5	4	20	20	168120000
614051	-0.5	4	20	20	164560000
235241	-0.5	4	20	20	169710000
420811	-0.5	4	20	20	143920000
163147	-0.5	4	20	20	148210000
282571	-0.5	4	20	20	144310000
998813	-0.5	4	20	20	167040000
140827	-0.5	4	20	20	173780000
916337	-0.5	4	20	20	148440000
386363	-0.5	4	20	20	145110000
695117	-0.5	4	20	20	141380000
176357	-0.5	4	20	20	158830000
333673	-0.5	4	20	20	163080000
305369	-0.5	4	20	40	168150000
908797	-0.5	4	20	40	158080000
266129	-0.5	4	20	40	165670000
314693	-0.5	4	20	40	178350000
801569	-0.5	4	20	40	157240000
934229	-0.5	4	20	40	174330000
997609	-0.5	4	20	40	154190000
941207	-0.5	4	20	40	169500000
614051	-0.5	4	20	40	164570000
235241	-0.5	4	20	40	169090000
420811	-0.5	4	20	40	130540000
163147	-0.5	4	20	40	148210000
282571	-0.5	4	20	40	144310000
998813	-0.5	4	20	40	167840000
140827	-0.5	4	20	40	174220000
916337	-0.5	4	20	40	147940000
386363	-0.5	4	20	40	145160000
695117	-0.5	4	20	40	142410000
176357	-0.5	4	20	40	157770000
333673	-0.5	4	20	40	160350000
305369	-0.5	4	10	5	168780000
908797	-0.5	4	10	5	157210000
266129	-0.5	4	10	5	149480000
314693	-0.5	4	10	5	178630000
801569	-0.5	4	10	5	162220000
934229	-0.5	4	10	5	171740000
997609	-0.5	4	10	5	144280000
941207	-0.5	4	10	5	168130000
614051	-0.5	4	10	5	164630000
235241	-0.5	4	10	5	169760000
420811	-0.5	4	10	5	147520000
163147	-0.5	4	10	5	145880000
282571	-0.5	4	10	5	145040000
998813	-0.5	4	10	5	167150000
140827	-0.5	4	10	5	161730000
916337	-0.5	4	10	5	143010000
386363	-0.5	4	10	5	148060000
695117	-0.5	4	10	5	141310000
176357	-0.5	4	10	5	155660000
333673	-0.5	4	10	5	162170000
305369	-0.5	4	10	10	168590000
908797	-0.5	4	10	10	157820000
266129	-0.5	4	10	10	169380000
314693	-0.5	4	10	10	178630000
801569	-0.5	4	10	10	162220000
934229	-0.5	4	10	10	171740000
997609	-0.5	4	10	10	144280000
941207	-0.5	4	10	10	168130000
614051	-0.5	4	10	10	164630000
235241	-0.5	4	10	10	169760000
420811	-0.5	4	10	10	147470000
163147	-0.5	4	10	10	148310000
282571	-0.5	4	10	10	143890000
998813	-0.5	4	10	10	167060000
140827	-0.5	4	10	10	172960000
916337	-0.5	4	10	10	143930000
386363	-0.5	4	10	10	148790000
695117	-0.5	4	10	10	141280000
176357	-0.5	4	10	10	155660000
333673	-0.5	4	10	10	163080000
305369	-0.5	4	10	20	167690000
908797	-0.5	4	10	20	157800000
266129	-0.5	4	10	20	169380000
314693	-0.5	4	10	20	179380000
801569	-0.5	4	10	20	157400000
934229	-0.5	4	10	20	171740000
997609	-0.5	4	10	20	145160000
941207	-0.5	4	10	20	168120000
614051	-0.5	4	10	20	164560000
235241	-0.5	4	10	20	169710000
420811	-0.5	4	10	20	143920000
163147	-0.5	4	10	20	148210000
282571	-0.5	4	10	20	144310000
998813	-0.5	4	10	20	167040000
140827	-0.5	4	10	20	173780000
916337	-0.5	4	10	20	148440000
386363	-0.5	4	10	20	145110000
695117	-0.5	4	10	20	141380000
176357	-0.5	4	10	20	158830000
333673	-0.5	4	10	20	163080000
305369	-0.5	4	10	40	168150000
908797	-0.5	4	10	40	158080000
266129	-0.5	4	10	40	165670000
314693	-0.5	4	10	40	178350000
801569	-0.5	4	10	40	157240000
934229	-0.5	4	10	40	174330000
997609	-0.5	4	10	40	154190000
941207	-0.5	4	10	40	169500000
614051	-0.5	4	10	40	164570000
235241	-0.5	4	10	40	169090000
420811	-0.5	4	10	40	130540000
163147	-0.5	4	10	40	148210000
282571	-0.5	4	10	40	144310000
998813	-0.5	4	10	40	167840000
140827	-0.5	4	10	40	174220000
916337	-0.5	4	10	40	147940000
386363	-0.5	4	10	40	145160000
695117	-0.5	4	10	40	142410000
176357	-0.5	4	10	40	157770000
333673	-0.5	4	10	40	160350000
305369	-0.5	6	1000	5	154100000
908797	-0.5	6	1000	5	161650000
266129	-0.5	6	1000	5	155420000
314693	-0.5	6	1000	5	171310000
801569	-0.5	6	1000	5	152130000
934229	-0.5	6	1000	5	151550000
997609	-0.5	6	1000	5	161200000
941207	-0.5	6	1000	5	161100000
614051	-0.5	6	1000	5	164290000
235241	-0.5	6	1000	5	167160000
420811	-0.5	6	1000	5	149520000
163147	-0.5	6	1000	5	153530000
282571	-0.5	6	1000	5	160720000
998813	-0.5	6	1000	5	171520000
140827	-0.5	6	1000	5	145400000
916337	-0.5	6	1000	5	144500000
386363	-0.5	6	1000	5	144800000
695117	-0.5	6	1000	5	133070000
176357	-0.5	6	1000	5	161800000
333673	-0.5	6	1000	5	147200000
305369	-0.5	6	1000	10	156850000
908797	-0.5	6	1000	10	163900000
266129	-0.5	6	1000	10	155600000
314693	-0.5	6	1000	10	170480000
801569	-0.5	6	1000	10	152060000
934229	-0.5	6	1000	10	151380000
997609	-0.5	6	1000	10	161200000
941207	-0.5	6	1000	10	161290000
614051	-0.5	6	1000	10	164270000
235241	-0.5	6	1000	10	167090000
420811	-0.5	6	1000	10	149480000
163147	-0.5	6	1000	10	154900000
282571	-0.5	6	1000	10	147240000
998813	-0.5	6	1000	10	171550000
140827	-0.5	6	1000	10	145370000
916337	-0.5	6	1000	10	144500000
386363	-0.5	6	1000	10	145160000
695117	-0.5	6	1000	10	134580000
176357	-0.5	6	1000	10	161860000
333673	-0.5	6	1000	10	150870000
305369	-0.5	6	1000	20	156880000
908797	-0.5	6	1000	20	162310000
266129	-0.5	6	1000	20	152270000
314693	-0.5	6	1000	20	171310000
801569	-0.5	6	1000	20	153820000
934229	-0.5	6	1000	20	150170000
