cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-0.5	14	1000	40	162772000	20	1
-0.5	8	1000	40	162756000	20	2
-0.5	10	1000	40	162726000	20	3
-0.5	8	600	20	162612500	20	4
-0.5	12	1000	40	162593000	20	5
-0.5	8	600	40	162505500	20	6
-0.5	8	800	20	162040500	20	7
-0.5	8	400	20	161924500	20	8
-0.5	8	1000	20	161818000	20	9
-0.5	8	400	40	161714000	20	10
-0.5	8	800	40	161631500	20	11
-0.5	10	800	40	161096000	20	12
-0.5	8	600	10	161022500	20	13
-0.5	10	600	40	160821500	20	14
-0.5	14	600	40	160525000	20	15
-0.5	14	800	40	160516500	20	16
-0.5	8	800	10	160487500	20	17
-0.5	12	800	40	160299000	20	18
-0.5	12	600	40	160267000	20	19
-0.5	10	400	40	160090000	20	20
-0.5	8	1000	10	159911000	20	21
-0.5	14	400	40	159908000	20	22
-0.5	8	400	10	159663000	20	23
-0.5	12	1000	5	159621500	20	24
-0.5	14	1000	20	159399500	20	25
-0.5	4	50	10	159380500	20	26
-0.5	4	20	10	159380500	20	27
-0.5	4	10	10	159380500	20	28
-0.5	4	100	10	159348500	20	29
-0.5	4	200	10	159334500	20	30
-0.5	4	50	20	159252000	20	31
-0.5	4	20	20	159252000	20	32
-0.5	4	10	20	159252000	20	33
-0.5	4	400	10	159236500	20	34
-0.5	4	100	20	159220000	20	35
-0.5	4	200	20	159206000	20	36
-0.5	4	600	10	159173000	20	37
-0.5	4	400	20	159157000	20	38
-0.5	6	600	40	159095000	20	39
-0.5	4	600	20	159037500	20	40
-0.5	4	600	40	159022500	20	41
-0.5	12	400	40	158979000	20	42
-0.5	10	1000	5	158929000	20	43
-0.5	4	50	40	158896000	20	44
-0.5	4	20	40	158896000	20	45
-0.5	4	10	40	158896000	20	46
-0.5	4	100	40	158864000	20	47
-0.5	4	400	40	158857500	20	48
-0.5	4	200	40	158850000	20	49
-0.5	10	600	5	158846500	20	50
-0.5	12	1000	20	158835000	20	51
-0.5	8	200	40	158829000	20	52
-0.5	14	800	20	158667000	20	53
-0.5	10	400	5	158661500	20	54
-0.5	12	600	5	158653000	20	55
-0.5	4	800	40	158642000	20	56
-0.5	4	800	10	158623500	20	57
-0.5	4	800	20	158611500	20	58
-0.5	10	1000	20	158585500	20	59
-0.5	12	800	5	158429500	20	60
-0.5	12	400	5	158403000	20	61
-0.5	4	1000	10	158394000	20	62
-0.5	10	800	5	158383500	20	63
-0.5	6	400	40	158371000	20	64
-0.5	4	1000	20	158349000	20	65
-0.5	8	200	10	158330000	20	66
-0.5	4	1000	40	158307000	20	67
-0.5	8	200	20	158269000	20	68
-0.5	10	800	10	158035500	20	69
-0.5	6	800	40	158004000	20	70
-0.5	14	600	20	157951000	20	71
-0.5	10	1000	10	157920500	20	72
-0.5	6	1000	40	157868000	20	73
-0.5	10	600	10	157750500	20	74
-0.5	14	1000	10	157676000	20	75
-0.5	4	400	5	157670000	20	76
-0.5	6	200	40	157655000	20	77
-0.5	4	50	5	157619500	20	78
-0.5	4	20	5	157619500	20	79
-0.5	4	10	5	157619500	20	80
-0.5	4	600	5	157606500	20	81
-0.5	4	100	5	157587500	20	82
-0.5	4	200	5	157573500	20	83
-0.5	6	400	20	157521000	20	84
-0.5	4	1000	5	157495000	20	85
-0.5	12	600	20	157385000	20	86
-0.5	6	600	20	157361000	20	87
-0.5	14	600	10	157351000	20	88
-0.5	12	800	20	157316500	20	89
-0.5	6	600	10	157310500	20	90
-0.5	6	100	40	157300500	20	91
-0.5	10	800	20	157294500	20	92
-0.5	14	1000	5	157273000	20	93
-0.5	4	800	5	157210000	20	94
-0.5	6	400	10	157166000	20	95
-0.5	10	600	20	157134000	20	96
-0.5	6	50	40	157104000	20	97
-0.5	6	20	40	157104000	20	98
-0.5	6	10	40	157104000	20	99
-0.5	14	800	10	157094000	20	100
-0.5	14	400	20	156913000	20	101
-0.5	12	1000	10	156753000	20	102
-0.5	10	400	20	156724500	20	103
-0.5	6	200	10	156691500	20	104
-0.5	8	600	5	156655500	20	105
-0.5	6	200	20	156513000	20	106
-0.5	12	400	20	156451500	20	107
-0.5	6	600	5	156369500	20	108
-0.5	8	400	5	156363500	20	109
-0.5	6	100	10	156213500	20	110
-0.5	6	800	20	156189000	20	111
-0.5	6	400	5	156106500	20	112
-0.5	6	100	20	156085500	20	113
-0.5	10	200	40	156058500	20	114
-0.5	12	600	10	156043000	20	115
-0.5	6	50	10	155988500	20	116
-0.5	10	400	10	155857000	20	117
-0.5	6	200	5	155837500	20	118
-0.5	8	1000	5	155806000	20	119
-0.5	6	800	10	155801500	20	120
-0.5	6	1000	20	155794000	20	121
-0.5	12	800	10	155788500	20	122
-0.5	10	200	5	155763500	20	123
-0.5	6	100	5	155684000	20	124
-0.5	6	20	10	155631500	20	125
-0.5	6	10	10	155631500	20	126
-0.5	6	1000	5	155598500	20	127
-0.5	8	800	5	155540500	20	128
-0.5	8	100	40	155519000	20	129
-0.5	6	1000	10	155481500	20	130
-0.5	6	50	5	155466500	20	131
-0.5	6	50	20	155409500	20	132
-0.5	6	20	20	155397000	20	133
-0.5	6	10	20	155397000	20	134
-0.5	8	100	10	155351500	20	135
-0.5	6	800	5	155319500	20	136
-0.5	8	100	20	155205000	20	137
-0.5	14	800	5	155158500	20	138
-0.5	6	20	5	154936500	20	139
-0.5	14	600	5	154863000	20	140
-0.5	6	10	5	154654500	20	141
-0.5	8	50	40	154573000	20	142
-0.5	8	20	40	154573000	20	143
-0.5	8	10	40	154573000	20	144
-0.5	8	200	5	154541000	20	145
-0.5	12	200	5	153855500	20	146
-0.5	14	400	10	153417000	20	147
-0.5	12	400	10	153159000	20	148
-0.5	8	50	20	153135000	20	149
-0.5	8	50	10	152911000	20	150
-0.5	12	200	40	152790500	20	151
-0.5	10	200	10	152735000	20	152
-0.5	14	200	40	152655500	20	153
-0.5	14	400	5	152643500	20	154
-0.5	8	20	20	152584000	20	155
-0.5	8	10	20	152584000	20	156
-0.5	8	100	5	152340000	20	157
-0.5	10	200	20	152090500	20	158
-0.5	8	50	5	151038500	20	159
-0.5	8	20	10	150958000	20	160
-0.5	8	10	10	150958000	20	161
-0.5	10	100	5	150595500	20	162
-0.5	10	100	40	150405000	20	163
-0.5	12	200	20	149686500	20	164
-0.5	8	20	5	149386500	20	165
-0.5	12	200	10	148848000	20	166
-0.5	14	200	10	148529000	20	167
-0.5	14	200	20	148163500	20	168
-0.5	10	50	40	148081500	20	169
-0.5	10	20	40	148081500	20	170
-0.5	10	10	40	148081500	20	171
-0.5	8	10	5	147635500	20	172
-0.5	10	100	10	147472000	20	173
-0.5	14	200	5	146896000	20	174
-0.5	10	50	5	146874500	20	175
-0.5	12	100	5	146548000	20	176
-0.5	10	100	20	145630500	20	177
-0.5	12	100	40	144796500	20	178
-0.5	14	100	40	143159500	20	179
-0.5	10	50	10	142864000	20	180
-0.5	12	100	20	142435000	20	181
-0.5	12	50	40	141638500	20	182
-0.5	12	20	40	141638500	20	183
-0.5	12	10	40	141638500	20	184
-0.5	10	50	20	141505500	20	185
-0.5	10	20	5	141055500	20	186
-0.5	12	100	10	140916000	20	187
-0.5	10	20	20	140196500	20	188
-0.5	10	10	20	140196500	20	189
-0.5	14	50	40	139867000	20	190
-0.5	14	20	40	139867000	20	191
-0.5	14	10	40	139867000	20	192
-0.5	12	50	5	139659500	20	193
-0.5	14	100	20	138775000	20	194
-0.5	14	100	10	138362000	20	195
-0.5	14	100	5	138222500	20	196
-0.5	10	20	10	136723000	20	197
-0.5	10	10	10	136723000	20	198
-0.5	12	50	20	136471000	20	199
-0.5	10	10	5	136153000	20	200
-0.5	12	20	20	134358500	20	201
-0.5	12	10	20	134358500	20	202
-0.5	12	50	10	133333500	20	203
-0.5	14	50	20	131407000	20	204
-0.5	14	50	10	128805000	20	205
-0.5	14	20	20	128733000	20	206
-0.5	14	10	20	128733000	20	207
-0.5	12	20	5	127840000	20	208
-0.5	14	50	5	127118500	20	209
-0.5	12	20	10	121269500	20	210
-0.5	12	10	10	121269500	20	211
-0.5	12	10	5	118814500	20	212
-0.5	14	20	10	112856000	20	213
-0.5	14	10	10	112856000	20	214
-0.5	14	20	5	109679000	20	215
-0.5	14	10	5	97248500	20	216
